,year,rank,song,artist
3312,1993,14,Love Is On The Way,Saigon Kick
3313,1993,15,When She Cries,Restless Heart
3314,1993,16,Flex,Mad Cobra
3315,1993,17,Layla,Eric Clapton
3316,1993,18,Little Miss Can't Be Wrong,Spin Doctors
3317,1993,19,Do You Believe In Us,Jon Secada
3318,1993,20,Faithful,Go West
3319,1993,21,Back To The Hotel,N2Deep
3320,1993,22,Walking On Broken Glass,Annie Lennox
3321,1993,23,7,Prince And The New Power Generation
3322,1993,24,The Last Song,Elton John
3323,1993,25,A Whole New World (Aladdin's Theme),Peabo Bryson & Regina Belle
3324,1993,26,Here We Go Again!,Portrait
3325,1993,27,Would I Lie To You?,Charles & Eddie
3326,1993,28,Where You Goin' Now,Damn Yankees
3327,1993,29,Never A Time,Genesis
3328,1993,30,Drive,R.E.M.
3329,1993,31,"Give It Up, Turn It Loose",En Vogue
3330,1993,32,"End Of The Road (From ""Boomerang"")",Boyz II Men
3331,1993,33,Jump Around,House Of Pain
3332,1993,34,Walk On The Ocean,Toad The Wet Sprocket
3333,1993,35,I Got A Thang 4 Ya!,Lo-Key?
3334,1993,36,Sometimes Love Just Ain't Enough,Patty Smyth
3335,1993,37,Gangsta,Bell Biv DeVoe
3336,1993,38,Who's Gonna Ride Your Wild Horses,U2
3337,1993,39,Slow And Sexy,Shabba Ranks (Featuring Johnny Gill)
3338,1993,40,I Wish The Phone Would Ring,Expose
3339,1993,41,Mr. Wendal,Arrested Development
3340,1993,42,Free Your Mind,En Vogue
3341,1993,43,Keep The Faith,Bon Jovi
3342,1993,44,"Love Shoulda Brought You Home (From ""Boomerang"")",Toni Braxton
3343,1993,45,People Everyday,Arrested Development
3344,1993,46,Baby-Baby-Baby,TLC
3345,1993,47,It's Gonna Be A Lovely Day,The S.O.U.L. S.Y.S.T.E.M.
3346,1993,48,I Love You Period,Dan Baird
3347,1993,49,No Ordinary Love,Sade
3348,1993,50,Love Can Move Mountains,Celine Dion
3349,1993,51,Ditty,Paperboy
3350,1993,52,Someone To Hold,Trey Lorenz
3351,1993,53,Quality Time,Hi-Five
3352,1993,54,Heal The World,Michael Jackson
3353,1993,55,Have You Ever Needed Someone So Bad,Def Leppard
3354,1993,56,Everything's Gonna Be Alright,Father M.C.
3355,1993,57,Erotica,Madonna
3356,1993,58,Baby I'm For Real/Natural High,After 7
3357,1993,59,Stand Up (Kick Love Into Motion),Def Leppard
3358,1993,60,Reminisce,Mary J. Blige
3359,1993,61,I Don't Care,Shakespear's Sister
3360,1993,62,Steam,Peter Gabriel
3361,1993,63,Homies,Lighter Shade Of Brown
3362,1993,64,I Got A Man,Positive K
3363,1993,65,Don't Walk Away,Jade
3364,1993,66,These Are Days,"10,000 Maniacs"
3365,1993,67,Shamrocks And Shenanigans (Boom Shalock Lock Boom),House Of Pain
3366,1993,68,"Forever Love (From ""Mo' Money"")",Color Me Badd
3367,1993,69,I Will Be Here For You,Michael W. Smith
3368,1993,70,Forever In Love,Kenny G
3369,1993,71,Games,Chuckii Booker
3370,1993,72,I Missed The Bus,Kris Kross
3371,1993,73,Sesame's Treet,Smart E's
3372,1993,74,Sexual,Goddess
3373,1993,75,Symphony Of Destruction,Megadeth
3374,1993,76,Pleasure,The Soup Dragons
3375,1993,77,Yesterdays,Guns N' Roses
3376,1993,78,"It's Alright (From ""South Central"")",Classic Example
3377,1993,79,Wicked,Ice Cube
3378,1993,80,Understand This Groove,Sound Factory
3379,1993,81,No Mistakes,Patty Smyth
3380,1993,82,Chains Around My Heart,Richard Marx
3381,1993,83,Punks Jump Up To Get Beat Down,Brand Nubian
3382,1993,84,"Baby, I Believe In You",George LaMond
3383,1993,85,No One Else On Earth,Wynonna
3384,1993,86,Love's Taken Over,Chante Moore
3385,1993,87,This Could Be The One,Bad Company
3386,1993,88,"All Alone On Christmas (From ""Home Alone 2"")",Darlene Love
3387,1993,89,Could've Been Me,Billy Ray Cyrus
3388,1993,90,Get Up (Move Boy Move),AB Logic
3389,1993,91,Irresistible,Cathy Dennis
3390,1993,92,Right Here,SWV
3391,1993,93,"The Right Kind Of Love (From ""Beverly Hills, 90210"")",Jeremy Jordan
3392,1993,94,Sleeping With You,Firehouse
3393,1993,95,Murder She Wrote,Chaka Demus & Pliers
3394,1993,96,Right Now,Al B. Sure!
3395,1993,97,360 Degrees (What Goes Around),Grand Puba
3396,1993,98,Pick It Up,Home Team
3397,1993,99,"Revolution (From ""Malcolm X"")",Arrested Development
3398,1993,100,Crazy Love,CeCe Peniston
3399,1994,1,Hero,Mariah Carey
3400,1994,2,Again,Janet Jackson
3401,1994,3,All That She Wants,Ace Of Base
3402,1994,4,All For Love,Bryan Adams/Rod Stewart/Sting
3403,1994,5,I'd Do Anything For Love (But I Won't Do That),Meat Loaf
3404,1994,6,Breathe Again,Toni Braxton
3405,1994,7,Gangsta Lean,DRS
3406,1994,8,What's My Name?,Snoop Dogg
3407,1994,9,Said I Loved You...But I Lied,Michael Bolton
3408,1994,10,Shoop,Salt-N-Pepa
3409,1994,11,Whoomp! (There It Is),Tag Team
3410,1994,12,Please Forgive Me,Bryan Adams
3411,1994,13,Can We Talk,Tevin Campbell
3412,1994,14,Keep Ya Head Up,2Pac
3413,1994,15,Just Kickin' It,Xscape
3414,1994,16,Linger,The Cranberries
3415,1994,17,Getto Jam,Domino
3416,1994,18,Cry For You,Jodeci
3417,1994,19,Because The Night,"10,000 Maniacs"
3418,1994,20,Mr. Vain,Culture Beat
3419,1994,21,Never Keeping Secrets,Babyface
3420,1994,22,The Power Of Love,Celine Dion
3421,1994,23,"I Can See Clearly Now (From ""Cool Runnings"")",Jimmy Cliff
3422,1994,24,What Is Love,Haddaway
3423,1994,25,Hey Mr. D.J.,Zhane
3424,1994,26,Come Baby Come,K7
3425,1994,27,Sex Me (Parts I & II),R. Kelly
3426,1994,28,U.N.I.T.Y.,Queen Latifah
3427,1994,29,Dreams,Gabrielle
3428,1994,30,Dreamlover,Mariah Carey
3429,1994,31,"Never Should've Let You Go (From ""Sister Act 2"")",Hi-Five
3430,1994,32,All About Soul,Billy Joel
3431,1994,33,Time And Chance,Color Me Badd
3432,1994,34,Cryin',Aerosmith
3433,1994,35,Jessie,Joshua Kadison
3434,1994,36,Amazing,Aerosmith
3435,1994,37,(I Know I Got) Skillz,Shaquille O'Neal
3436,1994,38,Anniversary,Tony Toni Tone
3437,1994,39,Found Out About You,Gin Blossoms
3438,1994,40,The River Of Dreams,Billy Joel
3439,1994,41,Sweat (A La La La La Long),Inner Circle
3440,1994,42,Real Muthaphuckkin G's,Eazy-E
3441,1994,43,Let It Snow,Boyz II Men Featuring Brian McKnight
3442,1994,44,Wild World,Mr. Big
3443,1994,45,Higher Ground,UB40
3444,1994,46,Understanding,Xscape
3445,1994,47,Slow And Easy,Zapp & Roger
3446,1994,48,If,Janet Jackson
3447,1994,49,No Rain,Blind Melon
3448,1994,50,Both Sides Of The Story,Phil Collins
3449,1994,51,Cantaloop (Flip Fantasia),US3
3450,1994,52,"Two Steps Behind (From ""Last Action Hero"")",Def Leppard
3451,1994,53,Award Tour,A Tribe Called Quest
3452,1994,54,Miss You In A Heartbeat,Def Leppard
3453,1994,55,Goody Goody,Lisette Melendez
3454,1994,56,True Love,Elton John & Kiki Dee
3455,1994,57,God Blessed Texas,Little Texas
3456,1994,58,I'll Be Loving You,Collage
3457,1994,59,Come Inside,Intro
3458,1994,60,"Soul To Squeeze (From ""Coneheads"")",Red Hot Chili Peppers
3459,1994,61,"Stay (Faraway, So Close!)",U2
3460,1994,62,Life (Everybody Needs Somebody To Love),Haddaway
3461,1994,63,Yours,Shai
3462,1994,64,Freakit,Das EFX
3463,1994,65,Hopelessly,Rick Astley
3464,1994,66,So Much In Love,All-4-One
